IPC,专利数,度数,聚类系数,近年增长频率
G06N3,393805,2681,0.1725909565198968,0.8413427965617502
G06F16,388481,1773,0.2297045622027199,0.7484896301234809
G06Q10,352626,2461,0.1827815060399833,0.650822684657399
A61K36,348601,1391,0.2612892985852198,0.12139666839739416
G06F17,347882,3310,0.1414786852409732,0.24301056105231084
A61K31,331841,1569,0.231252664102608,0.24263728713450117
H04L29,328373,1847,0.20834464960701668,0.10080914082461104
G06F3,321599,2378,0.18147651958178274,0.2993976971321428
H01L21,311510,2402,0.18468806447130748,0.2749606754197297
G06Q50,307481,2414,0.182908559648873,0.6357465989768474
G06K9,300149,2467,0.17627532204104213,0.46620178644606514
H04L12,277610,1406,0.24880546976056597,0.14365116530384353
G06F9,253421,1134,0.2834478384618509,0.45962647136582996
G06T7,246304,2374,0.18755649881259143,0.6377525334545927
C12N15,234380,1099,0.30675232385603735,0.3984597661916546
H01M10,230567,2761,0.18106738024754374,0.48545542076706555
G01N21,216954,3452,0.1492862035204491,0.41262203047650653
G06F30,211753,2980,0.1594465110056888,0.880875359499039
G06V10,211373,2127,0.20761138805804807,0.9380100580490413
C08K3,210894,3251,0.15525125578616839,0.2601117148899447
A61K9,205394,1535,0.26780200259223114,0.2235946522293738
G01R31,201119,2096,0.2123241568862598,0.4594692694374972
G01N33,194143,3480,0.149864971538094,0.4054537119545902
C02F1,190082,2997,0.17011518864105507,0.39028945402510495
G06F21,178025,1273,0.2824324575478419,0.5361887375368628
H04N5,172020,2458,0.1790396518439401,0.22710149982560168
C08K5,166761,2978,0.1639057558507274,0.22964002374655945
C12R1,164157,1389,0.27642060735067225,0.4159676407341752
A61P35,161667,1089,0.31306872955284365,0.3023993764961309
G02F1,159725,2064,0.20139433034447415,0.18550633902019095
G06F11,156494,922,0.34050007096560536,0.5123519112553836
H01M4,156350,1631,0.26039248691182393,0.41797249760153504
H04L9,154501,965,0.3274460657638228,0.5913683406579893
C12Q1,153053,1318,0.2953424942503496,0.3680751112359771
G05B19,153036,3586,0.12680244134005822,0.30480409838208006
A61K35,149685,1051,0.3155004038742823,0.16324280990079165
B01D53,149023,3443,0.1522003811763752,0.3822564302154701
H04W4,141094,1913,0.20669751589721672,0.4289764270628092
G06Q30,140730,1376,0.2623395045433294,0.5126909685212819
A61B5,139367,2267,0.19648398193433647,0.4022688297803641
A61P31,139130,1266,0.28634730448901047,0.2721267878962122
H01L27,137345,1176,0.2585690820287822,0.28845607776038446
C12N1,131703,1289,0.2855121377671922,0.40080332262742685
H02J7,130046,3080,0.14810084588691,0.4004659889577534
A61K47,129867,1371,0.29105955172811504,0.35302270784725914
H02J3,129332,1326,0.2713575527559127,0.5369900720625986
G06F18,123880,1813,0.22920763535301458,0.9723199870842751
A61P1,121990,1084,0.3121536333339603,0.20318058857283383
H04M1,118439,2112,0.20934159402605398,0.1703830663886051
H04N7,117141,2292,0.18730591150766623,0.2770165868483281
C08L23,115732,2567,0.18764692108152162,0.25204783465247294
A23L1,115503,1112,0.2590695294031633,0.0
A61K8,114699,1507,0.26559517918993425,0.2903251118144012
C09D7,114334,2849,0.1778704069157385,0.27488760998478146
H04N21,111510,684,0.4041839454657417,0.3535647027172451
G01N1,108151,2770,0.18246112836882247,0.49504858947212693
H01L23,106279,1597,0.24748134658574672,0.28431769211227054
G06V20,105321,1795,0.22549498047964306,0.9340492399426515
H04L67,104417,1639,0.24163633457947553,0.8865797714931477
H01R13,103445,1927,0.2321932121932122,0.292590265358403
C08K13,102569,2318,0.20479116074859088,0.10049820121089217
C02F9,102357,2098,0.22409362531654795,0.3204861416415096
G09G3,100453,955,0.3245610941123564,0.2775626412352045
A23L33,98878,1043,0.31967597724081875,0.3173911284613362
C09D5,96449,2695,0.1855937108424295,0.2652075189996786
B65G47,96425,2466,0.183538117384037,0.5205911330049261
G06F40,94976,595,0.43010231985780045,0.8731258423180593
G06T5,93626,1324,0.2767009360029593,0.6050456069895115
G06F1,93023,1852,0.22438366977036528,0.27668426088171744
C02F101,91120,1583,0.2730093915884034,0.49708077260755046
A61P29,90706,1095,0.3201240662356856,0.25573831940555203
G08G1,88722,1094,0.3036633394103605,0.4106985865963346
F24F11,87945,1458,0.28390732978361843,0.42184319745295357
C04B35,87735,2101,0.21748292686471518,0.2875249330369864
H04B7,87728,888,0.33066534032214867,0.29085354732810503
G01B11,86669,2424,0.18775741166526994,0.4406996734703296
A61B17,86287,1399,0.26406462476899945,0.38336018171914654
G06F8,85593,732,0.386699738805269,0.7049408246001425
H04W72,85456,308,0.6140147862423658,0.30264697622168135
A61P17,85382,1085,0.32245098591405064,0.2169778173385491
E04B1,85104,2141,0.2282743175320816,0.4672165820642978
H01L29,84978,852,0.30773920875770805,0.27855444938690016
A61P25,84110,1030,0.3068360492386498,0.21215075496373798
H05K7,82370,2524,0.1956938402588754,0.47533082432924606
G06F119,81820,2073,0.20933806394726345,0.926741627963823
A61P9,81520,950,0.3406738579302171,0.18726692836113837
G01N27,81035,2417,0.20829015010780796,0.368272968470414
B01J23,80435,1303,0.2895701531366405,0.3118045626903711
B32B27,80047,2825,0.16565982627766804,0.2671055754744088
C04B28,79951,1644,0.2712495945477528,0.34087128366124253
A61Q19,79402,1199,0.32174499794637096,0.32049570539784894
C08K7,78279,2413,0.2022937745567945,0.3326179435097536
G01N3,77111,1847,0.25304069743517393,0.49778890171311485
H01L51,77055,1304,0.28080491079176956,0.20651482707157226
H04L1,76902,532,0.432735314049292,0.20162024394684144
H01L31,76522,1969,0.22744252702655876,0.28968139881341315
C09K11,73974,1475,0.2687865270521562,0.3474464000865169
C05G3,73161,1021,0.3542341869894403,0.1807110345675975
C22C38,73155,1875,0.21018202892201823,0.3182694279270043
H04W24,73150,500,0.5136925973511753,0.36962406015037597
G01N30,73087,1357,0.28671423198722384,0.3909450381052718
A61P3,72702,967,0.34250639606131617,0.21293774586668868
G06Q40,72102,503,0.45017964071856287,0.6542398269118749
G02B6,71297,1785,0.2447142327493795,0.3080073495378487
B23K37,70574,1495,0.28629942412222187,0.47596848697820726
C12N5,70475,943,0.36595970787075766,0.3776800283788577
G06T17,70397,1559,0.25559419026438357,0.6955267980169609
B08B1,70035,3428,0.14345601049935872,0.7117298493610338
H01L33,69944,1173,0.31230083134438386,0.272060505547295
G01C21,69724,1368,0.2542918282303348,0.4491423326257816
F24F13,69192,1604,0.27863047517898065,0.3742484680309862
C08F220,68638,1881,0.2431056557512238,0.3413269617413095
